Job Role,Company,Experience Level,Location,Skills,Job Type,Work Mode,Salary Range,Job Posting Date,Min Salary (LPA),Max Salary (LPA)
Senior Data Analyst,Turner And Sons,Senior Level,Pune,"python, google colab, r",Part-Time,On-Site,15-23 LPA,2024-11-24,15.0,23.0
Data Analytics Specialist,"Berry, Gilbert And Mathis",Entry Level,Bangalore,"tableau, google cloud, r, powerbi, excel",Internship,Hybrid,9-27 LPA,2025-03-23,9.0,27.0
Junior Data Analyst,Young Ltd,Mid Level,Kolkata,"r, python, sql",Contract,On-Site,4-17 LPA,2025-06-22,4.0,17.0
Senior Data Analyst,Marshall Plc,Entry Level,Chennai,"machine learning, r, excel, tableau",Contract,On-Site,13-19 LPA,2025-07-23,13.0,19.0
Data Analytics Specialist,Ware-Mathews,Mid Level,Remote,"excel, python, google cloud",Internship,On-Site,9-33 LPA,2025-04-01,9.0,33.0
Data Analytics Specialist,"Huffman, Orozco And Wells",Mid Level,Hyderabad,"powerbi, r, python, tableau, powerbi",Contract,On-Site,15-34 LPA,2025-08-13,15.0,34.0
Data Analytics Specialist,Brown-Black,Entry Level,Bangalore,"tableau, r, powerbi, sql, powerbi",Internship,On-Site,4-17 LPA,2025-03-05,4.0,17.0
Data Analyst,Pacheco Inc,Mid Level,New Delhi,"powerbi, excel, machine learning, tableau, python",Part-Time,Hybrid,15-32 LPA,2025-07-11,15.0,32.0
Data Analyst,"Patterson, Daniel And Kelly",Senior Level,Chennai,"google cloud, sql, google colab, machine learning, r, powerbi",Contract,Hybrid,10-20 LPA,2024-09-28,10.0,20.0
Junior Data Analyst,"Ballard, Wallace And Rhodes",Entry Level,Chennai,"tableau, machine learning, excel, powerbi, sql",Contract,Hybrid,8-23 LPA,2025-02-21,8.0,23.0
Data Analytics Specialist,Hill-Cox,Senior Level,Chennai,"r, sql, google colab, powerbi, tableau, google cloud",Contract,On-Site,9-32 LPA,2024-12-23,9.0,32.0
Senior Data Analyst,Butler And Sons,Senior Level,Hyderabad,"python, powerbi, r, google colab, powerbi, excel",Full-Time,On-Site,14-18 LPA,2024-10-14,14.0,18.0
Data Analyst,Leonard And Sons,Internship,Pune,"excel, python, powerbi, r, sql, powerbi",Part-Time,On-Site,15-34 LPA,2024-11-09,15.0,34.0
Junior Data Analyst,Ellis-Shannon,Entry Level,Kolkata,"python, google colab, machine learning, tableau, powerbi",Part-Time,Remote,13-27 LPA,2024-12-24,13.0,27.0
Data Analyst,Weeks-Nguyen,Senior Level,Remote,"python, powerbi, google cloud",Internship,Remote,6-16 LPA,2025-03-16,6.0,16.0
Data Analyst,Navarro-Smith,Mid Level,Hyderabad,"tableau, powerbi, sql",Internship,Hybrid,10-26 LPA,2025-01-29,10.0,26.0
Senior Data Analyst,Anderson Group,Internship,Chennai,"python, powerbi, google cloud, powerbi, r, excel",Full-Time,Hybrid,9-19 LPA,2024-10-29,9.0,19.0
Senior Data Analyst,Travis-Cole,Mid Level,Chennai,"powerbi, python, sql",Part-Time,Hybrid,5-18 LPA,2025-02-05,5.0,18.0
Data Analytics Specialist,"Davis, Dickson And Campos",Senior Level,New Delhi,"google cloud, machine learning, r",Part-Time,Remote,8-29 LPA,2024-10-25,8.0,29.0
Data Analytics Specialist,Ross-Jefferson,Mid Level,Remote,"sql, tableau, machine learning, powerbi, google colab, powerbi",Full-Time,Remote,12-35 LPA,2025-08-31,12.0,35.0
Data Analyst,Wyatt-Middleton,Internship,New Delhi,"excel, google cloud, r",Internship,On-Site,14-18 LPA,2025-04-03,14.0,18.0
Senior Data Analyst,Fuller Plc,Senior Level,Kolkata,"sql, python, google cloud",Part-Time,Remote,13-21 LPA,2025-02-11,13.0,21.0
Junior Data Analyst,Rubio-Smith,Mid Level,Bangalore,"sql, tableau, excel",Full-Time,On-Site,13-18 LPA,2025-03-08,13.0,18.0
Junior Data Analyst,Dixon-Burke,Senior Level,Bangalore,"python, r, powerbi, excel, machine learning",Full-Time,Remote,14-33 LPA,2024-09-17,14.0,33.0
Data Analyst,Silva Llc,Entry Level,Kolkata,"tableau, google cloud, powerbi, sql",Part-Time,Remote,12-30 LPA,2025-06-05,12.0,30.0
Data Analyst,Sutton-Yates,Mid Level,Kolkata,"powerbi, powerbi, google cloud, excel",Contract,On-Site,14-29 LPA,2025-07-06,14.0,29.0
Data Analytics Specialist,Williams Group,Senior Level,Kolkata,"r, tableau, excel",Full-Time,Remote,4-29 LPA,2024-12-06,4.0,29.0
Senior Data Analyst,Powers-Mosley,Senior Level,New Delhi,"excel, google colab, powerbi, python, powerbi",Internship,Hybrid,7-16 LPA,2025-07-24,7.0,16.0
Junior Data Analyst,Davidson Llc,Mid Level,New Delhi,"google colab, python, machine learning, sql",Part-Time,Remote,8-16 LPA,2025-06-20,8.0,16.0
Senior Data Analyst,Evans-Garcia,Senior Level,Mumbai,"r, google colab, excel, powerbi, tableau",Full-Time,Remote,12-34 LPA,2025-07-16,12.0,34.0
Data Analytics Specialist,"Bradley, Bradley And Rivera",Senior Level,Mumbai,"powerbi, sql, tableau",Part-Time,On-Site,5-22 LPA,2025-01-14,5.0,22.0
Junior Data Analyst,"Smith, Mason And Petty",Entry Level,Pune,"excel, tableau, sql, powerbi",Part-Time,Hybrid,10-20 LPA,2025-08-12,10.0,20.0
Data Analyst,Rivera Ltd,Internship,Kolkata,"sql, machine learning, powerbi, tableau, google colab, excel",Internship,Remote,11-22 LPA,2025-05-10,11.0,22.0
Junior Data Analyst,Choi Plc,Senior Level,Chennai,"powerbi, sql, excel",Full-Time,Hybrid,5-18 LPA,2025-07-12,5.0,18.0
Data Analytics Specialist,Sandoval-Davis,Internship,Hyderabad,"powerbi, excel, google colab, powerbi, sql, powerbi",Full-Time,Remote,6-30 LPA,2025-01-04,6.0,30.0
Junior Data Analyst,"Pratt, Best And White",Entry Level,Chennai,"google cloud, python, machine learning, excel, google colab, powerbi",Part-Time,Hybrid,14-17 LPA,2025-06-08,14.0,17.0
Data Analyst,"James, Thompson And Smith",Mid Level,New Delhi,"r, excel, sql, python",Part-Time,On-Site,14-35 LPA,2025-05-24,14.0,35.0
Junior Data Analyst,"Ayala, Zamora And Curtis",Internship,New Delhi,"python, sql, powerbi",Full-Time,Remote,7-34 LPA,2025-07-06,7.0,34.0
Data Analyst,"Gentry, Nguyen And Mckee",Internship,Hyderabad,"powerbi, r, google cloud, powerbi, sql",Full-Time,On-Site,7-32 LPA,2025-07-02,7.0,32.0
Junior Data Analyst,"Beck, Smith And Rodriguez",Senior Level,Remote,"google cloud, powerbi, python",Internship,Remote,9-16 LPA,2025-03-26,9.0,16.0
Data Analytics Specialist,Rogers Inc,Senior Level,Hyderabad,"google colab, excel, machine learning, powerbi, r",Internship,On-Site,10-18 LPA,2024-12-01,10.0,18.0
Senior Data Analyst,White-Vazquez,Mid Level,Remote,"powerbi, sql, machine learning",Part-Time,Remote,12-26 LPA,2025-01-16,12.0,26.0
Senior Data Analyst,Blair Group,Entry Level,Chennai,"excel, sql, google cloud, powerbi",Full-Time,Hybrid,12-17 LPA,2025-04-09,12.0,17.0
Senior Data Analyst,Russell-Rice,Senior Level,Pune,"python, sql, r, google colab",Internship,On-Site,11-24 LPA,2025-02-07,11.0,24.0
Data Analyst,Henderson And Sons,Mid Level,New Delhi,"tableau, python, excel, powerbi, google cloud",Internship,On-Site,10-34 LPA,2025-04-03,10.0,34.0
Junior Data Analyst,Pena Ltd,Internship,Remote,"machine learning, powerbi, tableau, excel",Part-Time,Hybrid,9-33 LPA,2025-05-17,9.0,33.0
Data Analyst,"Torres, Perry And Underwood",Internship,Chennai,"powerbi, machine learning, excel, r",Full-Time,Hybrid,13-28 LPA,2024-11-16,13.0,28.0
Data Analytics Specialist,Mills Group,Mid Level,Chennai,"r, google cloud, powerbi",Contract,Remote,5-18 LPA,2025-04-02,5.0,18.0
Junior Data Analyst,"Wright, Lynch And Briggs",Mid Level,Kolkata,"sql, powerbi, machine learning",Contract,On-Site,10-16 LPA,2025-01-10,10.0,16.0
Senior Data Analyst,Hogan Plc,Mid Level,Hyderabad,"powerbi, excel, sql, google cloud, machine learning, tableau",Internship,On-Site,12-35 LPA,2024-12-11,12.0,35.0
Junior Data Analyst,Gray Inc,Entry Level,Remote,"powerbi, r, powerbi, excel, python, google colab",Full-Time,Remote,11-31 LPA,2024-09-07,11.0,31.0
Junior Data Analyst,Ford-Martinez,Mid Level,New Delhi,"r, machine learning, google cloud, google colab",Contract,On-Site,11-21 LPA,2025-01-01,11.0,21.0
Senior Data Analyst,"Luna, Hughes And Robinson",Entry Level,Chennai,"r, tableau, powerbi",Part-Time,Remote,5-17 LPA,2024-11-29,5.0,17.0
Senior Data Analyst,"Davenport, Wilson And Cole",Internship,Kolkata,"excel, python, powerbi",Full-Time,Hybrid,5-19 LPA,2024-09-13,5.0,19.0
Senior Data Analyst,"Howard, Calderon And Roberts",Mid Level,Chennai,"machine learning, powerbi, excel",Contract,Remote,6-35 LPA,2025-04-03,6.0,35.0
Senior Data Analyst,"Martin, Garcia And Lee",Senior Level,Remote,"excel, powerbi, r, tableau, powerbi, machine learning",Contract,Hybrid,5-31 LPA,2024-10-19,5.0,31.0
Data Analytics Specialist,Torres-Davis,Internship,Kolkata,"r, excel, sql, google cloud",Part-Time,On-Site,6-25 LPA,2025-06-25,6.0,25.0
Junior Data Analyst,"Wiggins, Cain And Weber",Entry Level,Pune,"google cloud, google colab, powerbi, excel",Internship,Remote,3-27 LPA,2024-10-03,3.0,27.0
Data Analyst,Johnson Llc,Internship,Mumbai,"google cloud, r, excel, machine learning, sql, powerbi",Part-Time,On-Site,8-22 LPA,2024-10-23,8.0,22.0
Data Analytics Specialist,Smith-Humphrey,Mid Level,Pune,"powerbi, python, powerbi, sql, tableau, machine learning",Contract,Remote,6-19 LPA,2025-07-17,6.0,19.0
Junior Data Analyst,"Adams, West And Harris",Senior Level,Pune,"excel, r, powerbi",Contract,Remote,9-18 LPA,2025-04-19,9.0,18.0
Junior Data Analyst,"Shelton, Gardner And Underwood",Internship,Hyderabad,"powerbi, tableau, powerbi, sql, powerbi",Part-Time,Remote,10-22 LPA,2025-06-28,10.0,22.0
Data Analyst,Jackson-Cruz,Entry Level,New Delhi,"powerbi, google cloud, sql, machine learning, excel, powerbi",Internship,On-Site,14-28 LPA,2025-05-28,14.0,28.0
Data Analyst,Johnson Group,Internship,Hyderabad,"excel, powerbi, sql",Contract,Hybrid,14-26 LPA,2025-05-14,14.0,26.0
Data Analyst,"Tyler, Fleming And Gutierrez",Senior Level,Chennai,"machine learning, python, excel, tableau, powerbi, powerbi",Contract,Hybrid,3-34 LPA,2025-03-20,3.0,34.0
Data Analytics Specialist,"Wright, Munoz And Gonzalez",Mid Level,Remote,"sql, tableau, powerbi",Full-Time,Hybrid,4-19 LPA,2025-04-25,4.0,19.0
Data Analytics Specialist,Morton Llc,Senior Level,Pune,"google colab, machine learning, powerbi, sql",Part-Time,Hybrid,8-26 LPA,2025-04-17,8.0,26.0
Data Analyst,Hopkins-Hall,Internship,Chennai,"google colab, sql, powerbi, python, tableau",Part-Time,Hybrid,5-26 LPA,2025-04-24,5.0,26.0
Data Analyst,Hall-Walls,Entry Level,Hyderabad,"machine learning, google cloud, tableau, powerbi, excel, r",Part-Time,Hybrid,15-28 LPA,2024-11-03,15.0,28.0
Senior Data Analyst,Burns Plc,Internship,New Delhi,"r, google cloud, powerbi, excel, powerbi",Contract,On-Site,4-26 LPA,2025-07-08,4.0,26.0
Junior Data Analyst,Williams-Bates,Internship,Hyderabad,"python, google colab, excel, powerbi, r, sql",Part-Time,Remote,14-25 LPA,2025-04-23,14.0,25.0
Data Analyst,Stein Group,Mid Level,Kolkata,"google cloud, powerbi, python, excel, machine learning",Internship,On-Site,14-29 LPA,2025-06-13,14.0,29.0
Junior Data Analyst,Bryan-Harris,Senior Level,Pune,"r, powerbi, excel",Part-Time,Remote,9-26 LPA,2025-02-18,9.0,26.0
Data Analytics Specialist,"Miller, Cunningham And Keller",Mid Level,Hyderabad,"tableau, google colab, powerbi, sql, python, machine learning",Contract,Hybrid,6-27 LPA,2025-01-24,6.0,27.0
Data Analyst,"Brown, Rodriguez And Moore",Entry Level,Chennai,"sql, tableau, python, powerbi, google cloud, google colab",Part-Time,On-Site,4-17 LPA,2024-12-14,4.0,17.0
Junior Data Analyst,Gonzales And Sons,Mid Level,Kolkata,"google cloud, sql, python, google colab, tableau, excel",Full-Time,Remote,4-34 LPA,2025-02-22,4.0,34.0
Senior Data Analyst,"Strickland, Gilbert And Archer",Internship,New Delhi,"google colab, excel, google cloud, machine learning, r, sql",Internship,Remote,4-23 LPA,2025-07-09,4.0,23.0
Data Analytics Specialist,"Kirk, Wilkinson And Miranda",Internship,Remote,"python, tableau, powerbi, r",Contract,Remote,7-29 LPA,2025-06-16,7.0,29.0
Data Analyst,Black Group,Internship,Hyderabad,"sql, powerbi, tableau, google colab, powerbi, powerbi",Full-Time,On-Site,5-23 LPA,2025-06-02,5.0,23.0
Senior Data Analyst,Lucas-Bryant,Entry Level,Mumbai,"powerbi, google cloud, google colab, powerbi, tableau",Full-Time,Remote,15-29 LPA,2025-04-21,15.0,29.0
Data Analytics Specialist,Harris-Williams,Mid Level,Kolkata,"powerbi, python, sql, tableau, r, powerbi",Part-Time,Remote,3-29 LPA,2024-11-09,3.0,29.0
Data Analytics Specialist,George-Watson,Entry Level,Chennai,"powerbi, r, tableau, google colab, google cloud",Internship,Hybrid,10-18 LPA,2025-06-06,10.0,18.0
Data Analyst,"Ritter, Rose And Lyons",Mid Level,New Delhi,"python, machine learning, google colab, sql, powerbi, r",Contract,Remote,14-26 LPA,2025-02-26,14.0,26.0
Senior Data Analyst,"Chase, Allen And Castillo",Mid Level,Kolkata,"tableau, powerbi, powerbi, python, powerbi, google colab",Internship,Hybrid,11-29 LPA,2025-08-16,11.0,29.0
Data Analytics Specialist,Knox Group,Mid Level,New Delhi,"powerbi, python, machine learning",Contract,Hybrid,15-20 LPA,2025-07-11,15.0,20.0
Data Analytics Specialist,Lee Inc,Mid Level,New Delhi,"google colab, r, machine learning",Internship,Hybrid,8-29 LPA,2025-05-02,8.0,29.0
Data Analyst,Burnett-Hunter,Internship,Hyderabad,"sql, google colab, excel, powerbi",Contract,On-Site,9-19 LPA,2025-06-08,9.0,19.0
Junior Data Analyst,Daniels Group,Entry Level,Remote,"python, sql, r",Part-Time,Remote,12-20 LPA,2024-09-15,12.0,20.0
Senior Data Analyst,"Buchanan, Olsen And Watson",Senior Level,Bangalore,"sql, google cloud, python, tableau, powerbi",Part-Time,On-Site,6-31 LPA,2025-06-29,6.0,31.0
Junior Data Analyst,Monroe Inc,Senior Level,Kolkata,"google colab, r, excel, tableau",Full-Time,On-Site,12-33 LPA,2025-01-05,12.0,33.0
Senior Data Analyst,Shannon-Johnson,Internship,Kolkata,"machine learning, powerbi, r",Contract,On-Site,12-22 LPA,2024-09-28,12.0,22.0
Data Analytics Specialist,Schultz-Castaneda,Entry Level,Kolkata,"powerbi, machine learning, python, tableau, r",Part-Time,Remote,4-17 LPA,2024-11-05,4.0,17.0
Senior Data Analyst,"Knight, Conrad And Patterson",Mid Level,Chennai,"machine learning, google cloud, powerbi, powerbi, excel, powerbi",Internship,Remote,7-22 LPA,2024-09-10,7.0,22.0
Data Analyst,Jimenez-Pitts,Entry Level,Bangalore,"powerbi, r, google cloud",Internship,Hybrid,6-21 LPA,2025-07-11,6.0,21.0
Data Analytics Specialist,Weiss-Lawrence,Mid Level,Hyderabad,"google colab, powerbi, powerbi, sql",Internship,On-Site,5-24 LPA,2024-12-14,5.0,24.0
Data Analyst,Martin Llc,Mid Level,Hyderabad,"powerbi, excel, google cloud, google colab, python",Contract,On-Site,9-35 LPA,2025-01-14,9.0,35.0
Senior Data Analyst,"Boyd, Harvey And Rodriguez",Internship,New Delhi,"powerbi, powerbi, tableau",Full-Time,Hybrid,6-16 LPA,2024-12-07,6.0,16.0
Data Analyst,"Anderson, Rose And Bowman",Mid Level,New Delhi,"google cloud, tableau, excel, machine learning, google colab, powerbi",Full-Time,On-Site,9-23 LPA,2025-07-19,9.0,23.0
Senior Data Analyst,Gonzalez-Mcknight,Mid Level,Hyderabad,"python, powerbi, r, google cloud, machine learning, powerbi",Full-Time,On-Site,11-20 LPA,2025-08-25,11.0,20.0
Data Analyst,Bryant Plc,Mid Level,Kolkata,"powerbi, excel, tableau",Contract,Remote,14-22 LPA,2025-02-10,14.0,22.0
Data Analyst,"Shah, Frazier And May",Internship,Chennai,"google cloud, sql, powerbi, machine learning, python",Contract,Remote,12-34 LPA,2024-12-27,12.0,34.0
Data Analytics Specialist,Martinez And Sons,Senior Level,Remote,"tableau, google cloud, excel, r, python",Part-Time,On-Site,4-35 LPA,2025-03-06,4.0,35.0
Data Analyst,Holloway-Wright,Senior Level,Mumbai,"machine learning, sql, python, tableau, r, google cloud",Contract,Hybrid,6-20 LPA,2025-01-22,6.0,20.0
Junior Data Analyst,"Alexander, Norton And Wheeler",Senior Level,Pune,"google colab, powerbi, powerbi, sql, r",Full-Time,Hybrid,14-25 LPA,2025-04-21,14.0,25.0
Senior Data Analyst,"Smith, Henderson And Harris",Entry Level,Kolkata,"tableau, r, powerbi, google colab",Full-Time,On-Site,6-18 LPA,2025-05-23,6.0,18.0
Senior Data Analyst,Burton-Rodriguez,Mid Level,Hyderabad,"google colab, machine learning, powerbi",Contract,Hybrid,7-33 LPA,2024-09-23,7.0,33.0
Senior Data Analyst,Cline Group,Mid Level,Chennai,"powerbi, r, google cloud, excel",Full-Time,Remote,8-17 LPA,2024-11-23,8.0,17.0
Senior Data Analyst,"Jackson, Trevino And Simon",Mid Level,New Delhi,"python, google colab, tableau, powerbi",Contract,On-Site,5-23 LPA,2025-03-23,5.0,23.0
Junior Data Analyst,Moore Inc,Internship,Kolkata,"google cloud, r, powerbi, machine learning, sql, powerbi",Internship,Remote,9-35 LPA,2024-09-20,9.0,35.0
Data Analyst,Tapia-Daniel,Internship,Bangalore,"python, powerbi, machine learning, excel, r",Contract,On-Site,5-20 LPA,2024-09-23,5.0,20.0
Junior Data Analyst,Mclean-Gonzalez,Senior Level,Bangalore,"r, google cloud, powerbi",Part-Time,On-Site,3-19 LPA,2024-12-14,3.0,19.0
Data Analyst,Williams Group,Senior Level,Kolkata,"tableau, powerbi, powerbi, excel, google colab",Internship,Remote,7-22 LPA,2024-10-19,7.0,22.0
Data Analyst,"Erickson, Moran And Rivera",Senior Level,Remote,"powerbi, powerbi, r, python, google colab, sql",Contract,On-Site,10-32 LPA,2024-09-14,10.0,32.0
Data Analytics Specialist,Costa Inc,Internship,Bangalore,"r, python, sql, tableau, excel, google colab",Full-Time,Remote,11-18 LPA,2025-01-18,11.0,18.0
Senior Data Analyst,Watkins Inc,Senior Level,Kolkata,"google colab, sql, google cloud, powerbi",Internship,Remote,3-34 LPA,2025-01-11,3.0,34.0
Data Analytics Specialist,Medina-Kennedy,Senior Level,Hyderabad,"tableau, google cloud, r",Full-Time,Hybrid,6-18 LPA,2025-08-16,6.0,18.0
Senior Data Analyst,"Kirk, Newton And Ramos",Senior Level,Chennai,"excel, r, machine learning, tableau, powerbi",Part-Time,Hybrid,15-17 LPA,2024-11-29,15.0,17.0
Data Analyst,Allen Llc,Internship,Mumbai,"excel, google cloud, tableau, machine learning, google colab, powerbi",Part-Time,Hybrid,15-27 LPA,2025-06-10,15.0,27.0
Data Analytics Specialist,"Taylor, Davis And Lopez",Senior Level,Bangalore,"powerbi, powerbi, machine learning, sql, excel, tableau",Full-Time,Hybrid,8-26 LPA,2025-06-15,8.0,26.0
Junior Data Analyst,Gutierrez Ltd,Entry Level,Hyderabad,"sql, excel, python",Contract,On-Site,6-35 LPA,2024-10-02,6.0,35.0
Data Analyst,Smith Llc,Entry Level,Hyderabad,"excel, python, powerbi, powerbi",Contract,Remote,15-20 LPA,2025-07-15,15.0,20.0
Data Analytics Specialist,"Scott, George And Lopez",Mid Level,Bangalore,"powerbi, excel, powerbi, powerbi, python, sql",Part-Time,Hybrid,8-22 LPA,2024-11-17,8.0,22.0
Data Analytics Specialist,"Schneider, Durham And Bradford",Internship,Pune,"r, tableau, powerbi, excel, sql",Full-Time,On-Site,9-27 LPA,2025-02-23,9.0,27.0
Data Analytics Specialist,Garcia Inc,Internship,Kolkata,"excel, google cloud, google colab, r",Internship,On-Site,13-22 LPA,2024-10-14,13.0,22.0
Data Analyst,Green-Ayala,Internship,Mumbai,"powerbi, tableau, google cloud",Internship,Remote,4-23 LPA,2025-02-06,4.0,23.0
Senior Data Analyst,"Andrews, Allison And Spencer",Mid Level,Remote,"powerbi, google cloud, tableau, excel, powerbi",Internship,On-Site,7-20 LPA,2025-01-05,7.0,20.0
Data Analytics Specialist,"Woods, Jones And Espinoza",Mid Level,Kolkata,"sql, python, powerbi, excel",Part-Time,Remote,9-18 LPA,2025-04-12,9.0,18.0
Senior Data Analyst,"Hardin, Wallace And Miller",Internship,Chennai,"machine learning, powerbi, powerbi, sql, excel",Full-Time,Remote,10-17 LPA,2025-05-21,10.0,17.0
Data Analytics Specialist,"Moran, Brown And Lozano",Senior Level,New Delhi,"google colab, machine learning, powerbi, tableau, excel, powerbi",Internship,Hybrid,14-24 LPA,2024-11-21,14.0,24.0
Senior Data Analyst,Mitchell Ltd,Mid Level,Kolkata,"machine learning, google cloud, powerbi, excel",Contract,On-Site,11-35 LPA,2025-04-14,11.0,35.0
Senior Data Analyst,Thomas-Smith,Mid Level,Kolkata,"powerbi, google cloud, google colab",Internship,Remote,13-30 LPA,2024-09-20,13.0,30.0
Data Analytics Specialist,Martinez Inc,Entry Level,New Delhi,"tableau, google cloud, excel, google colab",Full-Time,On-Site,4-33 LPA,2025-04-29,4.0,33.0
Data Analyst,Mann Group,Entry Level,Kolkata,"powerbi, sql, excel, r, google cloud, machine learning",Full-Time,On-Site,12-19 LPA,2024-11-29,12.0,19.0
Senior Data Analyst,Hayes And Sons,Senior Level,Pune,"r, powerbi, google cloud, python",Contract,Hybrid,14-19 LPA,2025-07-25,14.0,19.0
Data Analyst,"Payne, Boyer And Alvarado",Entry Level,Remote,"r, powerbi, google cloud, machine learning, excel",Contract,Hybrid,3-26 LPA,2025-01-20,3.0,26.0
Senior Data Analyst,Martin-Sanders,Mid Level,Remote,"r, excel, python, powerbi, google cloud",Internship,Remote,3-17 LPA,2025-04-13,3.0,17.0
Data Analyst,Washington And Sons,Mid Level,Kolkata,"tableau, powerbi, machine learning, excel, python, powerbi",Full-Time,Remote,11-18 LPA,2024-11-07,11.0,18.0
Junior Data Analyst,Mejia-Marquez,Senior Level,Hyderabad,"tableau, powerbi, powerbi",Internship,Remote,4-16 LPA,2025-03-30,4.0,16.0
Junior Data Analyst,Martin Ltd,Entry Level,Chennai,"google cloud, powerbi, sql, python, tableau",Full-Time,Remote,15-32 LPA,2025-08-09,15.0,32.0
Senior Data Analyst,Leonard-Landry,Entry Level,New Delhi,"powerbi, python, machine learning, google colab, powerbi, r",Internship,Remote,7-27 LPA,2025-04-30,7.0,27.0
Junior Data Analyst,Jordan-Lopez,Senior Level,Mumbai,"r, powerbi, excel, python, powerbi, tableau",Contract,Remote,7-16 LPA,2025-03-26,7.0,16.0
Data Analyst,Martin-Russell,Mid Level,New Delhi,"excel, python, powerbi, sql, tableau, r",Contract,Remote,7-27 LPA,2024-12-01,7.0,27.0
Senior Data Analyst,"Lopez, Lawrence And Floyd",Senior Level,Bangalore,"excel, sql, python, tableau, r, powerbi",Contract,Remote,5-16 LPA,2025-07-19,5.0,16.0
Junior Data Analyst,"Long, Vincent And Andrews",Internship,Bangalore,"google colab, machine learning, google cloud, tableau, python",Part-Time,Hybrid,13-31 LPA,2024-09-23,13.0,31.0
Data Analyst,Santos Group,Mid Level,Kolkata,"excel, google cloud, tableau, python, machine learning, powerbi",Full-Time,Remote,6-31 LPA,2024-12-22,6.0,31.0
Senior Data Analyst,"Alvarado, Grant And Mendez",Entry Level,Chennai,"sql, machine learning, powerbi, google cloud",Internship,Hybrid,4-30 LPA,2025-06-16,4.0,30.0
Junior Data Analyst,"Sandoval, Ramirez And Brown",Internship,Bangalore,"google colab, excel, powerbi, google cloud, r",Internship,Hybrid,4-16 LPA,2025-01-14,4.0,16.0
Data Analyst,"Adams, Williams And Hardy",Entry Level,Remote,"python, google cloud, sql, r, machine learning, powerbi",Contract,Hybrid,9-27 LPA,2024-10-06,9.0,27.0
Data Analytics Specialist,Barnes And Sons,Senior Level,Mumbai,"sql, machine learning, r, google cloud, excel, powerbi",Internship,Hybrid,15-16 LPA,2024-10-15,15.0,16.0
Data Analyst,Stanton-Willis,Senior Level,Pune,"r, google colab, powerbi",Part-Time,Hybrid,4-32 LPA,2025-08-18,4.0,32.0
